Username,Password,First Name,Role
Manuel III,10001,Manuel III,ADMIN
Antonio,10002,Antonio,ADMIN
Bianca Sofia,10003,Bianca Sofia,ADMIN
Isabella,10004,Isabella,ADMIN
Eduard,10005,Eduard,EMPLOYEE
Andrea Mae,10006,Andrea Mae,HR
Brad,10007,Brad,HR
Alice,10008,Alice,HR
Rosie,10009,Rosie,HR
Roderick,10010,Roderick,PAYROLL
Anthony,10011,Anthony,PAYROLL
Josie,10012,Josie,PAYROLL
Martha,10013,Martha,PAYROLL
Leila,10014,Leila,PAYROLL
Fredrick,10015,Fredrick,ADMIN
Christian,10016,Christian,ADMIN
Selena,10017,Selena,ADMIN
Allison,10018,Allison,EMPLOYEE
Cydney,10019,Cydney,EMPLOYEE
Mark,10020,Mark,EMPLOYEE
Darlene,10021,Darlene,EMPLOYEE
Kolby,10022,Kolby,EMPLOYEE
Vella,10023,Vella,EMPLOYEE
Tomas,10024,Tomas,EMPLOYEE
Jacklyn,10025,Jacklyn,EMPLOYEE
Percival,10026,Percival,EMPLOYEE
Garfield,10027,Garfield,EMPLOYEE
Lizeth,10028,Lizeth,EMPLOYEE
Carol,10029,Carol,EMPLOYEE
Emelia,10030,Emelia,EMPLOYEE
Delia,10031,Delia,EMPLOYEE
John Rafael,10032,John Rafael,EMPLOYEE
Carlos Ian,10033,Carlos Ian,EMPLOYEE
Beatriz,10034,Beatriz,EMPLOYEE
